!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019051400      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8946         4285   213.793   191.199     3.123     3.098     0.157     1.813     4.742     0.167     2.965     2.394    -5.266     3.228    11.870     0.000     0.000     0.000     0.015     0.120     0.016     0.018    -2.830     3.255     0.000     0.000     0.000     0.000    -0.840     2.259     0.000     0.000
     2    31.400GHz    -1         8946         4423   204.549   178.766     2.511     3.741     0.241     1.352     4.910     0.082     2.270     3.518    -7.856     4.829    15.872     0.000     0.000     0.000     0.005     0.154     0.005     0.006    -4.646     5.347     0.000     0.000     0.000     0.000    -1.108     2.991     0.000     0.000
     3    50.300GHz    -1         8946         4414   243.416   236.000     2.496     2.373    -0.004     1.139     3.576     0.116     2.500     2.070    -5.432     3.401    11.220     0.000     0.000     0.000     0.054     0.267    -0.027     0.036    -2.904     3.337     0.000     0.000     0.000     0.000    -0.410     1.117     0.000     0.000
     4    52.799GHz     1         8946         4423   256.009   256.651     0.058     0.638    -0.001     0.278     1.197     0.062     0.060     0.545    -1.177     0.735     1.618     0.000     0.000     0.000     0.009     0.024     0.063     0.063    -0.495     0.569     0.000     0.000     0.000     0.000     0.042     0.115     0.000     0.000
     5    53.595GHz     1         8946         4423   248.890   250.165     0.061     0.322    -0.001     0.177     0.477     0.163     0.062     0.262    -0.299     0.200     0.443     0.000     0.000     0.000    -0.073     0.126     0.003     0.002    -0.022     0.025     0.000     0.000     0.000     0.000     0.011     0.032     0.000     0.000
     6    54.400GHz    -1         8946         8371   232.320   232.803    -2.122     0.714    -0.015     0.189     0.266     0.567    -2.107     0.693     0.146     0.244    -1.932     0.000     0.000     0.000    -0.350     0.686     0.039     0.033     0.007     0.012     0.000     0.000     0.000     0.000    -0.016     0.028     0.000     0.000
     7    54.941GHz     1         8946         8944   224.301   224.301    -0.068     0.350    -0.002     0.134     0.255     0.280    -0.066     0.324     0.275     0.239    -0.229     0.000     0.000     0.000    -0.111     0.209    -0.003     0.003     0.002     0.003     0.000     0.000     0.000     0.000    -0.001     0.002     0.000     0.000
     8    55.499GHz     1         8946         8946   217.053   217.053    -0.062     0.275    -0.000     0.130     0.275     0.222    -0.062     0.244    -0.089     0.099     0.185     0.000     0.000     0.000    -0.122     0.200    -0.032     0.035    -0.001     0.002     0.000     0.000     0.000     0.000    -0.003     0.013     0.000     0.000
     9    57.290GHz     1         8946         8946   211.374   211.374    -0.168     0.254     0.003     0.168     0.340     0.245    -0.171     0.189    -0.058     0.163    -0.065     0.000     0.000     0.000    -0.072     0.117     0.009     0.013     0.009     0.017     0.000     0.000     0.000     0.000     0.006     0.015     0.000     0.000
    10    57.290GHz     1         8946         8946   214.342   214.342    -0.050     0.324    -0.001     0.193     0.400     0.232    -0.049     0.265    -0.021     0.174    -0.016     0.000     0.000     0.000    -0.041     0.217     0.025     0.027     0.002     0.003     0.000     0.000     0.000     0.000     0.002     0.006     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8943         8943   227.863   227.863     0.207     0.406     0.009     0.334     1.000     0.112     0.198     0.227    -0.022     0.167     0.277     0.000     0.000     0.000    -0.069     0.160     0.010     0.016     0.001     0.002     0.000     0.000     0.000     0.000     0.001     0.002     0.000     0.000
    13    57.290GHz     1         8941         8941   237.754   237.754     0.341     0.523     0.017     0.478     1.500     0.102     0.324     0.216    -0.025     0.173     0.401     0.000     0.000     0.000    -0.050     0.130     0.003     0.006    -0.005     0.009     0.000     0.000     0.000     0.000    -0.001     0.001     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8946         4005   242.898   238.129     3.094     4.138     0.020     2.190     5.238     0.223     3.074     3.628    -7.207     4.557    16.849     0.000     0.000     0.000     0.093     0.638    -0.297     0.298    -5.054     5.748     0.000     0.000     0.000     0.000    -1.310     3.355     0.000     0.000
