!   Satellite/Sensor   YYYYMMDDHH   #chan
           amsua_n15   2019052812      15
!ichan| freq/wavenum|iuse|  #total obs|  #assim obs| Tb-Total| Tb-Assim| O-F noBC|         |   O-F BC|         |Obs Error|Cost (Jo)| bc_total|         |bc_fixang|         |bc_const |         |bc_satang|         |bc_tlap  |         |bc_tlap2 |         |bc_clw   |         |bc_coslat|         |bc_sinlat|         |bc_emis  |         |bc_sst   |         
!     |             |    |            |            |     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|     mean|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev|     mean|   stddev
     1    23.800GHz    -1         8916         4268   213.456   187.423     3.224     3.145     0.063     1.933     4.662     0.189     3.161     2.296    -5.142     3.274    11.905     0.000     0.000     0.000     0.016     0.083     0.003     0.005    -2.970     3.277     0.000     0.000     0.000     0.000    -0.651     1.962     0.000     0.000
     2    31.400GHz    -1         8916         4424   205.074   176.486     2.714     3.696     0.226     1.339     4.846     0.085     2.488     3.338    -7.725     4.930    15.924     0.000     0.000     0.000     0.009     0.126     0.000     0.000    -4.829     5.352     0.000     0.000     0.000     0.000    -0.891     2.691     0.000     0.000
     3    50.300GHz    -1         8916         4414   244.578   235.163     2.682     2.257     0.071     1.114     3.521     0.115     2.611     1.932    -5.293     3.413    11.233     0.000     0.000     0.000     0.041     0.182    -0.009     0.011    -3.011     3.331     0.000     0.000     0.000     0.000    -0.351     1.070     0.000     0.000
     4    52.799GHz     1         8916         4424   256.902   256.219     0.057     0.575     0.022     0.295     1.156     0.073     0.035     0.457    -1.142     0.733     1.616     0.000     0.000     0.000     0.003     0.007     0.059     0.059    -0.517     0.573     0.000     0.000     0.000     0.000     0.016     0.049     0.000     0.000
     5    53.595GHz     1         8916         4424   249.485   249.841     0.074     0.320     0.010     0.195     0.457     0.205     0.064     0.241    -0.292     0.199     0.441     0.000     0.000     0.000    -0.067     0.120     0.007     0.007    -0.027     0.030     0.000     0.000     0.000     0.000     0.002     0.006     0.000     0.000
     6    54.400GHz    -1         8916         8404   232.669   232.842    -2.103     0.675     0.008     0.207     0.261     0.689    -2.110     0.630     0.136     0.238    -1.967     0.000     0.000     0.000    -0.323     0.640     0.055     0.054     0.000     0.000     0.000     0.000     0.000     0.000    -0.011     0.020     0.000     0.000
     7    54.941GHz     1         8916         8912   224.674   224.673    -0.040     0.344     0.016     0.150     0.254     0.354    -0.056     0.306     0.270     0.236    -0.220     0.000     0.000     0.000    -0.100     0.189    -0.006     0.006     0.002     0.004     0.000     0.000     0.000     0.000    -0.001     0.002     0.000     0.000
     8    55.499GHz     1         8916         8916   217.520   217.520    -0.029     0.280     0.016     0.149     0.275     0.298    -0.045     0.233    -0.088     0.098     0.186     0.000     0.000     0.000    -0.111     0.190    -0.028     0.033    -0.001     0.002     0.000     0.000     0.000     0.000    -0.002     0.012     0.000     0.000
     9    57.290GHz     1         8916         8915   212.019   212.019    -0.131     0.268     0.031     0.193     0.340     0.332    -0.161     0.182    -0.061     0.162    -0.056     0.000     0.000     0.000    -0.074     0.114     0.016     0.023     0.009     0.017     0.000     0.000     0.000     0.000     0.006     0.015     0.000     0.000
    10    57.290GHz     1         8916         8916   214.882   214.882    -0.004     0.348     0.043     0.208     0.400     0.281    -0.047     0.266    -0.022     0.171    -0.005     0.000     0.000     0.000    -0.051     0.220     0.025     0.027     0.002     0.005     0.000     0.000     0.000     0.000     0.002     0.006     0.000     0.000
    11    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    12    57.290GHz     1         8913         8913   228.188   228.188     0.231     0.439     0.018     0.357     1.000     0.127     0.212     0.239    -0.021     0.171     0.289     0.000     0.000     0.000    -0.061     0.160    -0.000     0.000     0.002     0.004     0.000     0.000     0.000     0.000     0.003     0.007     0.000     0.000
    13    57.290GHz     1         8914         8914   238.072   238.072     0.327     0.563    -0.014     0.509     1.500     0.115     0.341     0.219    -0.022     0.177     0.411     0.000     0.000     0.000    -0.050     0.127     0.003     0.005    -0.002     0.004     0.000     0.000     0.000     0.000     0.001     0.003     0.000     0.000
    14    57.290GHz    -1            0        -9999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999 -9999.999
    15    88.997GHz    -1         8916         3996   244.178   236.721     3.524     4.005     0.086     2.149     5.184     0.211     3.438     3.548    -7.015     4.580    16.860     0.000     0.000     0.000     0.141     0.696    -0.227     0.268    -5.240     5.744     0.000     0.000     0.000     0.000    -1.081     3.107     0.000     0.000
